Player,Team,Minutes,Starter,Status,Play Prob,Position
Collin Murray-Boyles,TOR,15.0,0,UNK,1.0,W
Ja'Kobe Walter,TOR,15.0,0,UNK,1.0,G
Pelle Larsson,MIA,15.0,0,UNK,1.0,G
Tyrese Martin,BKN,15.0,0,UNK,1.0,W
Cole Anthony,MIL,15.0,0,UNK,1.0,G
Ryan Dunn,PHX,15.0,0,UNK,1.0,W
Vít Krejčí,ATL,15.0,0,UNK,1.0,G
Julian Phillips,CHI,15.0,0,UNK,1.0,W
Jock Landale,MEM,15.0,0,UNK,1.0,BIG
Kentavious Caldwell-Pope,MEM,15.0,0,UNK,1.0,G
Jevon Carter,CHI,15.0,0,UNK,1.0,G
Kevin Huerter,CHI,15.0,0,UNK,1.0,W
Daniel Gafford,DAL,15.0,0,UNK,1.0,BIG
Lonzo Ball,CLE,15.0,0,UNK,1.0,G
Jamaree Bouyea,PHX,15.0,0,UNK,1.0,G
Branden Carlson,OKC,15.0,0,UNK,1.0,BIG
Thomas Bryant,CLE,15.0,0,UNK,1.0,BIG
Jaxson Hayes,LAL,15.0,0,UNK,1.0,BIG
Jonas Valančiūnas,DEN,15.0,0,UNK,1.0,BIG
Brandon Williams,DAL,15.0,0,UNK,1.0,G
Tyrese Proctor,CLE,15.0,0,UNK,1.0,G
Asa Newell,ATL,15.0,0,UNK,1.0,W
Dylan Harper,SAS,15.0,0,UNK,1.0,G
Kenrich Williams,OKC,15.0,0,UNK,1.0,W
Mohamed Diawara,NYK,15.0,0,UNK,1.0,W
Gary Harris,MIL,15.0,0,UNK,1.0,G
T.J. McConnell,IND,15.0,0,UNK,1.0,G
Garrison Mathews,IND,15.0,0,UNK,1.0,G
Ariel Hukporti,NYK,15.0,0,UNK,1.0,BIG
Bones Hyland,MIN,15.0,0,UNK,1.0,G
Alex Caruso,OKC,15.0,0,UNK,1.0,G
Nae'Qwan Tomlin,CLE,15.0,0,UNK,1.0,W
Trey Jemison III,NYK,15.0,0,UNK,1.0,BIG
Daniss Jenkins,DET,15.0,0,UNK,1.0,G
Tidjane Salaün,CHA,15.0,0,UNK,1.0,W
Tre Johnson,WAS,15.0,0,UNK,1.0,G
Cam Christie,LAC,14.999999999999998,0,UNK,1.0,G
Andre Jackson Jr.,MIL,14.999999999999998,0,UNK,1.0,G
Cody Williams,UTA,14.999999999999998,0,UNK,1.0,W
Nikola Jović,MIA,14.999999999999996,0,UNK,1.0,W
Justin Champagnie,WAS,14.93999999999999,0,UNK,1.0,W
Kyle Anderson,UTA,14.933386417234832,0,UNK,1.0,W
Johnny Furphy,IND,14.928961691656278,0,UNK,1.0,G
Jeremy Sochan,SAS,14.863934947573272,0,UNK,1.0,W
Lindy Waters III,SAS,14.860065052426716,0,UNK,1.0,W
Olivier-Maxence Prosper,MEM,14.852978027756519,0,UNK,1.0,W
Gradey Dick,TOR,14.705463530810714,0,UNK,1.0,W
Keldon Johnson,SAS,14.598896744335908,0,UNK,1.0,W
Julian Strawther,DEN,14.533535354491121,0,UNK,1.0,G
Simone Fontecchio,MIA,14.516891055600414,0,UNK,1.0,W
Day'Ron Sharpe,BKN,14.183756819764373,0,UNK,1.0,BIG
Ben Saraf,BKN,14.114633922966185,0,UNK,1.0,G
Zach Collins,CHI,14.073081377856175,0,UNK,1.0,BIG
Jarace Walker,IND,14.00658736150223,0,UNK,1.0,W
Dylan Cardwell,SAC,13.981396609343983,0,UNK,1.0,BIG
Aaron Holiday,HOU,13.932931123773892,0,UNK,1.0,G
Kobe Sanders,LAC,13.708162053892252,0,UNK,1.0,G
Caleb Love,POR,13.690516736883422,0,UNK,1.0,G
Jaylen Clark,MIN,13.676813593868758,0,UNK,1.0,G
Maxi Kleber,LAL,13.474472288291814,0,UNK,1.0,W
Keaton Wallace,ATL,13.260000000000002,0,UNK,1.0,G
Johni Broome,PHI,13.211999999999994,0,UNK,1.0,W
Orlando Robinson,ORL,13.030150364506605,0,UNK,1.0,BIG
Terrence Shannon Jr.,MIN,12.939703567476991,0,UNK,1.0,W
Rob Dillingham,MIN,12.923482838654241,0,UNK,1.0,G
Micah Peavy,NOP,12.821680622752861,0,UNK,1.0,W
Nigel Hayes-Davis,PHX,12.538034934806316,0,UNK,1.0,W
Javon Small,MEM,12.471021972243475,0,UNK,1.0,G
Clint Capela,HOU,12.387874353517436,0,UNK,1.0,BIG
Jamal Cain,ORL,12.373849635493393,0,UNK,1.0,W
Yves Missi,NOP,12.264443760669774,0,UNK,1.0,BIG
Jae'Sean Tate,HOU,12.259194522708674,0,UNK,1.0,W
Jordan Hawkins,NOP,12.178641962930977,0,UNK,1.0,G
Tre Mann,CHA,11.831166777363896,0,UNK,1.0,G
Josh Green,CHA,11.751253665960435,0,UNK,1.0,G
Liam McNeeley,CHA,11.605091551147245,0,UNK,1.0,W
Dalton Knecht,LAL,11.33407421152188,0,UNK,1.0,W
DeAndre Jordan,NOP,10.483233653646396,0,UNK,1.0,BIG
Rasheer Fleming,PHX,9.865965065193677,0,UNK,1.0,W
Adou Thiero,LAL,9.235453500186296,0,UNK,1.0,G
Collin Sexton,CHA,8.192488005528425,0,UNK,1.0,G
Jamison Battle,TOR,7.050536469189285,0,UNK,1.0,W
Zeke Nnaji,DEN,6.430464645508874,0,UNK,1.0,BIG
AJ Johnson,WAS,0.0,0,UNK,1.0,G
Pacôme Dadiet,NYK,0.0,0,UNK,1.0,W
Enrique Freeman,MIN,0.0,0,UNK,0.0,W
Joan Beringer,MIN,0.0,0,UNK,1.0,W
Rocco Zikarsky,MIN,0.0,0,UNK,0.0,BIG
Bismack Biyombo,SAS,0.0,0,UNK,1.0,BIG
Kelly Olynyk,SAS,0.0,0,UNK,1.0,BIG
Guerschon Yabusele,NYK,0.0,0,UNK,0.0,W
OG Anunoby,NYK,0.0,0,UNK,0.0,W
Jalen Brunson,NYK,0.0,0,UNK,0.0,G
Landry Shamet,NYK,0.0,0,UNK,0.0,G
Jaden McDaniels,MIN,0.0,0,UNK,0.0,W
Curtis Jones,DEN,0.0,0,UNK,1.0,G
Miles Kelly,DAL,0.0,0,UNK,1.0,G
Joe Ingles,MIN,0.0,0,UNK,0.0,W
Tyrese Haliburton,IND,0.0,0,UNK,0.0,G
Trey Alexander,NOP,0.0,0,UNK,0.0,G
Hunter Dickinson,NOP,0.0,0,UNK,0.0,BIG
Craig Porter Jr.,CLE,0.0,0,UNK,1.0,G
Thanasis Antetokounmpo,MIL,0.0,0,UNK,1.0,W
Evan Mobley,CLE,0.0,0,UNK,0.0,BIG
Nikola Đurišić,ATL,0.0,0,UNK,0.0,G
Herbert Jones,NOP,0.0,0,UNK,0.0,W
Jordan Poole,NOP,0.0,0,UNK,0.0,G
N'Faly Dante,ATL,0.0,0,UNK,0.0,BIG
Harrison Ingram,SAS,0.0,0,UNK,0.0,W
Ousmane Dieng,OKC,0.0,0,UNK,0.0,W
Nikola Topić,OKC,0.0,0,UNK,0.0,G
Taurean Prince,MIL,0.0,0,UNK,0.0,W
Giannis Antetokounmpo,MIL,0.0,0,UNK,0.0,W
Obi Toppin,IND,0.0,0,UNK,0.0,W
Karlo Matković,NOP,0.0,0,UNK,1.0,BIG
Luke Travers,CLE,0.0,0,UNK,0.0,W
Thomas Sorber,OKC,0.0,0,UNK,0.0,BIG
Carter Bryant,SAS,0.0,0,UNK,1.0,W
Jordan McLaughlin,SAS,0.0,0,UNK,1.0,G
Stanley Umude,SAS,0.0,0,UNK,0.0,G
Jaylin Williams,OKC,0.0,0,UNK,0.0,W
David Jones Garcia,SAS,0.0,0,UNK,0.0,W
Drew Peterson,CHA,0.0,0,UNK,0.0,W
Antonio Reeves,CHA,0.0,0,UNK,0.0,G
Chris Paul,LAC,0.0,0,UNK,0.0,G
Jeff Green,HOU,0.0,0,UNK,1.0,W
Chris Livingston,CLE,0.0,0,UNK,0.0,W
Malaki Branham,WAS,0.0,0,UNK,1.0,W
Tamar Bates,DEN,0.0,0,UNK,0.0,G
Hunter Tyson,DEN,0.0,0,UNK,1.0,W
Fred VanVleet,HOU,0.0,0,UNK,0.0,G
Derrick Jones Jr.,LAC,0.0,0,UNK,0.0,W
Kevin McCullar Jr.,NYK,0.0,0,UNK,1.0,G
Tosan Evbuomwan,NYK,0.0,0,UNK,1.0,W
Leonard Miller,MIN,0.0,0,UNK,1.0,W
Johnny Juzang,MIN,0.0,0,UNK,1.0,G
Miles McBride,NYK,0.0,0,UNK,0.0,G
KJ Simpson,CHA,0.0,0,UNK,0.0,G
Jamir Watkins,WAS,0.0,0,UNK,0.0,W
Dorian Finney-Smith,HOU,0.0,0,UNK,0.0,W
Cam Whitmore,WAS,0.0,0,UNK,0.0,W
Ivica Zubac,LAC,0.0,0,UNK,0.0,BIG
Will Riley,WAS,0.0,0,UNK,1.0,W
Pat Connaughton,CHA,0.0,0,UNK,1.0,G
Tolu Smith,DET,0.0,0,UNK,0.0,W
Chaz Lanier,DET,0.0,0,UNK,0.0,G
Isaac Jones,DET,0.0,0,UNK,0.0,W
Yanic Konan Niederhäuser,LAC,0.0,0,UNK,1.0,BIG
Isaiah Jackson,IND,0.0,0,UNK,0.0,W
Aaron Nesmith,IND,0.0,0,UNK,0.0,W
Max Christie,DAL,0.0,0,UNK,0.0,G
Moussa Cisse,DAL,0.0,0,UNK,1.0,BIG
Alijah Martin,TOR,0.0,0,UNK,0.0,G
DaRon Holmes II,DEN,0.0,0,UNK,1.0,W
Dereck Lively II,DAL,0.0,0,UNK,0.0,BIG
Christian Braun,DEN,0.0,0,UNK,0.0,G
Chucky Hepburn,TOR,0.0,0,UNK,0.0,G
Kyrie Irving,DAL,0.0,0,UNK,0.0,G
Grayson Allen,PHX,0.0,0,UNK,0.0,G
Luka Dončić,LAL,0.0,0,UNK,0.0,W
Jalen Green,PHX,0.0,0,UNK,0.0,G
Nick Richards,PHX,0.0,0,UNK,1.0,BIG
Gabe Vincent,LAL,0.0,0,UNK,0.0,G
Rui Hachimura,LAL,0.0,0,UNK,0.0,W
Lachlan Olbrich,CHI,0.0,0,UNK,0.0,BIG
Kevon Looney,NOP,0.0,0,UNK,1.0,W
Larry Nance Jr.,CLE,0.0,0,UNK,0.0,BIG
Dejounte Murray,NOP,0.0,0,UNK,1.0,G
Isaiah Livers,PHX,0.0,0,UNK,0.0,W
Drew Timme,LAL,0.0,0,UNK,0.0,W
Noa Essengue,CHI,0.0,0,UNK,0.0,W
Eli John Ndiaye,ATL,0.0,0,UNK,0.0,W
Ajay Mitchell,OKC,0.0,0,UNK,0.0,G
Max Strus,CLE,0.0,0,UNK,0.0,W
Dalen Terry,CHI,0.0,0,UNK,1.0,W
Christian Koloko,MEM,0.0,0,UNK,1.0,BIG
Oscar Tshiebwe,UTA,0.0,0,UNK,1.0,BIG
Malik Williams,ATL,0.0,0,UNK,1.0,BIG
Trentyn Flowers,CHI,0.0,0,UNK,0.0,W
Khaman Maluach,PHX,0.0,0,UNK,1.0,BIG
Zach Edey,MEM,0.0,0,UNK,0.0,BIG
Elijah Harkless,UTA,0.0,0,UNK,0.0,G
Chris Mañon,LAL,0.0,0,UNK,1.0,G
Koby Brea,PHX,0.0,0,UNK,0.0,G
Jusuf Nurkić,UTA,0.0,0,UNK,0.0,BIG
Ja Morant,MEM,0.0,0,UNK,0.0,G
Kristaps Porziņģis,ATL,0.0,0,UNK,0.0,BIG
Patrick Williams,CHI,0.0,0,UNK,1.0,W
RJ Barrett,TOR,0.0,0,UNK,0.0,W
Amir Coffey,MIL,0.0,0,UNK,1.0,W
Caleb Martin,DAL,0.0,0,UNK,1.0,W
Tony Bradley,IND,0.0,0,UNK,1.0,BIG
Danté Exum,DAL,0.0,0,UNK,0.0,G
Drake Powell,BKN,0.0,0,UNK,0.0,W
A.J. Lawson,TOR,0.0,0,UNK,0.0,G
Jalen Smith,CHI,0.0,0,UNK,1.0,BIG
Klay Thompson,DAL,0.0,0,UNK,0.0,G
Aaron Gordon,DEN,0.0,0,UNK,0.0,W
Dwight Powell,DAL,0.0,0,UNK,0.0,BIG
Walker Kessler,UTA,0.0,0,UNK,0.0,BIG
Brandon Clarke,MEM,0.0,0,UNK,0.0,W
Scotty Pippen Jr.,MEM,0.0,0,UNK,0.0,G
John Konchar,MEM,0.0,0,UNK,0.0,G
Ty Jerome,MEM,0.0,0,UNK,0.0,W
Georges Niang,UTA,0.0,0,UNK,0.0,W
Lauri Markkanen,UTA,0.0,0,UNK,0.0,BIG
Mouhamed Gueye,ATL,0.0,0,UNK,0.0,W
Emanuel Miller,CHI,0.0,0,UNK,0.0,W
Caleb Houstan,ATL,0.0,0,UNK,1.0,G
Chris Youngblood,OKC,0.0,0,UNK,1.0,G
Bronny James,LAL,0.0,0,UNK,1.0,G
Brooks Barnhizer,OKC,0.0,0,UNK,1.0,G
John Tonje,UTA,0.0,0,UNK,0.0,G
Javonte Cooke,POR,0.0,0,UNK,1.0,G
Jrue Holiday,POR,0.0,0,UNK,0.0,G
Jahmai Mashack,MEM,0.0,0,UNK,1.0,G
Damian Lillard,POR,0.0,0,UNK,1.0,G
Franz Wagner,ORL,0.0,0,UNK,0.0,W
Goga Bitadze,ORL,0.0,0,UNK,0.0,BIG
Moritz Wagner,ORL,0.0,0,UNK,0.0,BIG
Colin Castleton,ORL,0.0,0,UNK,0.0,BIG
Scoot Henderson,POR,0.0,0,UNK,0.0,G
Trendon Watford,PHI,0.0,0,UNK,0.0,W
Jalen Suggs,ORL,0.0,0,UNK,0.0,G
Vince Williams Jr.,MEM,0.0,0,UNK,0.0,G
Hunter Sallis,PHI,0.0,0,UNK,1.0,G
VJ Edgecombe,PHI,0.0,0,UNK,0.0,G
Dominick Barlow,PHI,0.0,0,UNK,0.0,W
Myron Gardner,MIA,0.0,0,UNK,1.0,W
Tyson Etienne,BKN,0.0,0,UNK,0.0,G
E.J. Liddell,BKN,0.0,0,UNK,0.0,W
Jalen Wilson,BKN,0.0,0,UNK,1.0,W
Drew Eubanks,SAC,0.0,0,UNK,0.0,BIG
Domantas Sabonis,SAC,0.0,0,UNK,0.0,BIG
Doug McDermott,SAC,0.0,0,UNK,1.0,W
Zach LaVine,SAC,0.0,0,UNK,0.0,G
JD Davison,HOU,0.0,0,UNK,1.0,G
Alex Antetokounmpo,MIL,0.0,0,UNK,0.0,W
Kasparas Jakučionis,MIA,0.0,0,UNK,1.0,G
Vladislav Goldin,MIA,0.0,0,UNK,0.0,BIG
Jahmir Young,MIA,0.0,0,UNK,0.0,G
Jonathan Mogbo,TOR,0.0,0,UNK,1.0,W
Keshad Johnson,MIA,0.0,0,UNK,1.0,W
Blake Wesley,POR,0.0,0,UNK,0.0,G
Wendell Moore Jr.,DET,0.0,0,UNK,0.0,G
Marcus Sasser,DET,0.0,0,UNK,1.0,G
Daeqwon Plowden,SAC,0.0,0,UNK,0.0,W
Bobi Klintman,DET,0.0,0,UNK,0.0,W
Isaiah Stevens,SAC,0.0,0,UNK,0.0,G
Rayan Rupert,POR,0.0,0,UNK,1.0,W
Tristan da Silva,ORL,0.0,0,UNK,0.0,W
Duop Reath,POR,0.0,0,UNK,1.0,BIG
Jakob Poeltl,TOR,0.0,0,UNK,0.0,BIG
Ronald Holland II,DET,0.0,0,UNK,0.0,W
Terry Rozier,MIA,0.0,0,UNK,0.0,G
Paul Reed,DET,0.0,0,UNK,1.0,W
Ryan Kalkbrenner,CHA,0.0,0,UNK,0.0,BIG
Devin Carter,SAC,0.0,0,UNK,0.0,G
Cam Thomas,BKN,0.0,0,UNK,0.0,G
Quentin Grimes,PHI,0.0,0,UNK,0.0,G
Ben Sheppard,IND,0.0,0,UNK,0.0,G
Mark Sears,MIL,0.0,0,UNK,0.0,G
Taelon Peter,IND,0.0,0,UNK,1.0,G
Kam Jones,IND,0.0,0,UNK,1.0,G
Garrett Temple,TOR,0.0,0,UNK,1.0,W
Kelly Oubre Jr.,PHI,0.0,0,UNK,0.0,W
Haywood Highsmith,BKN,0.0,0,UNK,0.0,W
Pete Nance,MIL,0.0,0,UNK,1.0,W
Isaiah Crawford,HOU,0.0,0,UNK,0.0,W
RayJ Dennis,LAC,0.0,0,UNK,0.0,G
Grant Williams,CHA,0.0,0,UNK,0.0,W
Mason Plumlee,CHA,0.0,0,UNK,0.0,BIG
Bradley Beal,LAC,0.0,0,UNK,0.0,G
Tyler Smith,HOU,0.0,0,UNK,0.0,W
Sharife Cooper,WAS,0.0,0,UNK,0.0,G
Anthony Gill,WAS,0.0,0,UNK,1.0,W
